,Question,ResponseM,pid,language,negative,neutral,positive,sentiment,is_uncertain,vader_sentiment,vader_neg,vader_neu,vader_pos,vader_compound
21,1,famille emploi équité liberté économie ,fda31633-fdc2-eb11-a7ad-28187818aecc,fr,0.06952967494726181,0.7530651688575745,0.17740516364574432,neutral,False,positive,0.0,0.541,0.459,0.5267
22,1,family integerty freedom   ,514068c1-9bb9-eb11-a7ad-28187818aecc,en,0.0023877930361777544,0.7619912028312683,0.23562099039554596,neutral,False,positive,0.0,0.323,0.677,0.6369
23,1,freedom choice family values   ,e6659b65-7fbd-eb11-a7ad-28187818aecc,en,0.0010842961492016912,0.9511322379112244,0.04778352379798889,neutral,False,positive,0.0,0.225,0.775,0.7845
24,2,liberté famille accident enfants choisir amis,1c5e9e78-eebe-eb11-a7ad-28187818aecc,fr,0.13830655813217163,0.7077808380126953,0.15391261875629425,neutral,False,positive,0.231,0.224,0.545,0.6369
25,1,family faith freedom democracy  ,e057286c-eebe-eb11-a7ad-28187818aecc,en,0.0007448872784152627,0.7908445000648499,0.20841053128242493,neutral,False,positive,0.0,0.222,0.778,0.7906
26,2,peace safety children equality fairness love,541d7c95-36c5-eb11-a7ad-28187818aecc,en,0.01116152387112379,0.19566835463047028,0.7931700944900513,positive,False,positive,0.0,0.222,0.778,0.8885
27,1,honest hard working trustworthy good use of manors family oriented caring,5192243c-fec2-eb11-a7ad-28187818aecc,en,0.00010144685802515596,0.008543455973267555,0.9913551211357117,positive,False,positive,0.069,0.294,0.637,0.9118
28,1,kindness diversity accepting family honesty integrity,70e1254c-eebe-eb11-a7ad-28187818aecc,en,0.01098592858761549,0.2640799582004547,0.7249341011047363,positive,False,positive,0.0,0.149,0.851,0.886
29,1,honesty family values    ,a1bc36a4-eebe-eb11-a7ad-28187818aecc,en,0.0015439229318872094,0.8534438610076904,0.1450122743844986,neutral,False,positive,0.0,0.145,0.855,0.7096
30,1,family peace compassion equality kindness team work,753f2e58-eebe-eb11-a7ad-28187818aecc,en,0.005141963250935078,0.12107816338539124,0.8737798929214478,positive,False,positive,0.0,0.296,0.704,0.8591
31,1,family traditional wholesome hard working progess ,2c1ee35a-9bb9-eb11-a7ad-28187818aecc,en,0.0007045863312669098,0.2640632390975952,0.7352321147918701,positive,False,neutral,0.219,0.781,0.0,-0.1027
32,1,famille travail    ,7541e80f-a2c3-eb11-a7ad-28187818aecc,fr,0.15306325256824493,0.7165439128875732,0.13039280474185944,neutral,False,neutral,0.0,1.0,0.0,0.0
33,1,jobs are important family first    ,62f7a7e4-7ebd-eb11-a7ad-28187818aecc,en,0.004288818687200546,0.562104344367981,0.4336068034172058,neutral,True,neutral,0.0,0.69,0.31,0.2023
34,1,polite family taxes   ,c16cd4ad-36c5-eb11-a7ad-28187818aecc,en,0.018359346315264702,0.9768848419189453,0.004755791276693344,neutral,False,neutral,0.0,1.0,0.0,0.0
35,1,family oriented kind hearted    ,8f0ba221-eebe-eb11-a7ad-28187818aecc,en,0.0006467750063166022,0.1853794902563095,0.8139737248420715,positive,False,positive,0.0,0.469,0.531,0.5267
36,1,caring kind worthy good trustworthy family,8bbd36a4-eebe-eb11-a7ad-28187818aecc,en,0.000495911343023181,0.022333351895213127,0.9771707653999329,positive,False,positive,0.0,0.059,0.941,0.9432
37,1,famille ami généreux social gentil accueillant,005f4e90-7ebd-eb11-a7ad-28187818aecc,fr,0.0005351901054382324,0.009394899010658264,0.9900699257850647,positive,False,positive,0.0,0.248,0.752,0.8442
38,1,family strong loyal   ,97cae610-fec2-eb11-a7ad-28187818aecc,en,0.00025653259945102036,0.04691849276423454,0.9528250098228455,positive,False,positive,0.0,0.135,0.865,0.7506
39,1,family loyalty caring trustworthy traditional honest,5998f315-a2c3-eb11-a7ad-28187818aecc,en,0.003137533785775304,0.4016822278499603,0.5951802134513855,positive,True,positive,0.0,0.128,0.872,0.9274
40,1,family     ,c825277f-9bb9-eb11-a7ad-28187818aecc,en,0.0011522544082254171,0.9713215231895447,0.027526214718818665,neutral,False,neutral,0.0,1.0,0.0,0.0
41,1,family     ,5a402e58-eebe-eb11-a7ad-28187818aecc,en,0.0011522544082254171,0.9713215231895447,0.027526214718818665,neutral,False,neutral,0.0,1.0,0.0,0.0
42,1,la famille     ,b000ef33-eebe-eb11-a7ad-28187818aecc,fr,0.19221088290214539,0.4668642580509186,0.34092482924461365,neutral,True,neutral,0.0,1.0,0.0,0.0
43,1,family independence selfsupporting innovative insular ,4bbb64e5-9bb9-eb11-a7ad-28187818aecc,en,0.0016176983481273055,0.826894998550415,0.17148728668689728,neutral,False,neutral,0.0,0.58,0.42,0.4404
44,1,family     ,e2a5273a-eebe-eb11-a7ad-28187818aecc,en,0.0011522544082254171,0.9713215231895447,0.027526214718818665,neutral,False,neutral,0.0,1.0,0.0,0.0
45,1,familles     ,b35d9e78-eebe-eb11-a7ad-28187818aecc,fr,0.353512167930603,0.531376302242279,0.11511153727769852,neutral,True,neutral,0.0,1.0,0.0,0.0
46,1,family     ,e197f315-a2c3-eb11-a7ad-28187818aecc,en,0.0011522544082254171,0.9713215231895447,0.027526214718818665,neutral,False,neutral,0.0,1.0,0.0,0.0
47,1,polite caring welcoming protective of children community spiritedness hard working,764146b0-eebe-eb11-a7ad-28187818aecc,en,0.0004796007415279746,0.0341293029487133,0.9653910994529724,positive,False,positive,0.097,0.483,0.421,0.6908
48,1,family health freedom peace  ,420ef721-7fbd-eb11-a7ad-28187818aecc,en,0.000564832123927772,0.2836664021015167,0.7157687544822693,positive,False,positive,0.0,0.206,0.794,0.8271
49,1,family social safety net equality welcoming generous common sense,993e9f46-7fbd-eb11-a7ad-28187818aecc,en,0.008647508919239044,0.547724187374115,0.44362834095954895,neutral,True,positive,0.0,0.4,0.6,0.8402
50,1,family democracy vote education health work,5c0ef721-7fbd-eb11-a7ad-28187818aecc,en,0.013942173682153225,0.9342666864395142,0.05179113149642944,neutral,False,neutral,0.0,1.0,0.0,0.0
51,2,quality of life food water shelter acceptance family,fe34fed9-a1c3-eb11-a7ad-28187818aecc,en,0.001363239949569106,0.2612997591495514,0.737337052822113,positive,False,neutral,0.0,0.7,0.3,0.4588
52,1,peacekeeping allowing family fun safety cleanliness,c43c1e91-9bb9-eb11-a7ad-28187818aecc,en,0.00023936765501275659,0.13233719766139984,0.8674234747886658,positive,False,positive,0.0,0.248,0.752,0.8442
53,2,guerre famine enfants religion santé prison,a663db60-9bb9-eb11-a7ad-28187818aecc,fr,0.9884573221206665,0.011184688657522202,0.0003580329066608101,negative,False,negative,0.643,0.357,0.0,-0.802
54,1,freedom family environment   ,d46291bc-eebe-eb11-a7ad-28187818aecc,en,0.0002891840704251081,0.32625311613082886,0.673457682132721,positive,False,positive,0.0,0.323,0.677,0.6369
55,1,économie environnement democratie famille nature égalité,835d9e78-eebe-eb11-a7ad-28187818aecc,fr,0.038637131452560425,0.7299962043762207,0.2313666194677353,neutral,False,neutral,0.0,1.0,0.0,0.0
56,1,friendly family oriented accepting of cultural awareness not gun lovers nature lovers being polite,d396d23a-a2c3-eb11-a7ad-28187818aecc,en,0.009824488312005997,0.8053030371665955,0.18487243354320526,neutral,False,positive,0.121,0.391,0.488,0.8156
57,1,kindness compassion family healthy environment ,5e1321cd-fdc2-eb11-a7ad-28187818aecc,en,0.0007670010672882199,0.05052034556865692,0.9487127065658569,positive,False,positive,0.0,0.187,0.813,0.8271
58,1,famille tradition santé bois importantes environnement,8c61f6af-a1c3-eb11-a7ad-28187818aecc,fr,0.057881735265254974,0.74198317527771,0.20013509690761566,neutral,False,neutral,0.0,0.69,0.31,0.2023
59,1,famille environnement amicalité santé aidant -,cc00ef33-eebe-eb11-a7ad-28187818aecc,fr,0.04228159412741661,0.851256251335144,0.10646209120750427,neutral,False,positive,0.0,0.278,0.722,0.7783
60,1,sante sécurité famille environnement vieux loi,c1ad2752-eebe-eb11-a7ad-28187818aecc,fr,0.15126743912696838,0.54988694190979,0.2988456189632416,neutral,False,neutral,0.0,0.588,0.412,0.4215
61,1,freedom of religion freedom of speech freedom to spend time with whomever i chose family male & female genders only freedom to life (unborn),e44146b0-eebe-eb11-a7ad-28187818aecc,en,0.001062110997736454,0.8266608715057373,0.1722770780324936,neutral,False,positive,0.0,0.543,0.457,0.9571
62,2,liberty equality prisoners of conscience racism women children,014246b0-eebe-eb11-a7ad-28187818aecc,en,0.535047173500061,0.4620910882949829,0.00286175892688334,negative,True,negative,0.468,0.316,0.215,-0.6124
63,2,refugees children women violence food medicine,38fe69af-9bb9-eb11-a7ad-28187818aecc,en,0.9174545407295227,0.08234549313783646,0.00019996854825876653,negative,False,negative,0.451,0.549,0.0,-0.6249
64,2,respect liberté femme enfant minorité visible religion,0f0f5954-fec2-eb11-a7ad-28187818aecc,fr,0.12911739945411682,0.5920187830924988,0.2788638174533844,neutral,False,positive,0.0,0.381,0.619,0.7579
65,2,equal opportunity racial discrimination gay rights gender equality child protection ,a87c66d3-9bb9-eb11-a7ad-28187818aecc,en,0.17799894511699677,0.8179858326911926,0.004015202634036541,neutral,False,neutral,0.0,0.763,0.237,0.4215
66,2,women children safety fight equality diginity,c634ed2d-eebe-eb11-a7ad-28187818aecc,en,0.03515461087226868,0.9371132254600525,0.027732115238904953,neutral,False,neutral,0.277,0.426,0.298,0.0516
67,2,race children women government health financial support,555f9e78-eebe-eb11-a7ad-28187818aecc,en,0.007020377088338137,0.9912149906158447,0.0017646807245910168,neutral,False,neutral,0.0,0.69,0.31,0.4019
68,2,respect liberté équité égalité droit vivre,ca0df721-7fbd-eb11-a7ad-28187818aecc,fr,0.03131568804383278,0.4049714505672455,0.5637128353118896,positive,True,positive,0.0,0.381,0.619,0.7579
69,1,freedom rights welcoming respectful hard working polite,46bb64e5-9bb9-eb11-a7ad-28187818aecc,en,0.001581991440616548,0.22222162783145905,0.7761964201927185,positive,False,positive,0.097,0.207,0.697,0.8658
70,1,la liberté d'expression le bilinguisme l'égalité des sexes la grosseur d'une personne la couleur de la peau le respect de chacun,0309fb52-7fbd-eb11-a7ad-28187818aecc,fr,0.13439953327178955,0.6244646310806274,0.241135835647583,neutral,False,positive,0.0,0.711,0.289,0.7579
71,1,freedom of speech proud respect each other everyone is equal rights freedom,2172e428-fec2-eb11-a7ad-28187818aecc,en,0.0006091137765906751,0.18724997341632843,0.8121408820152283,positive,False,positive,0.0,0.354,0.646,0.9393
72,2,racisme discrimination inégalité intimidation reconnaissance des droits pour tous richesse,c02d119e-eebe-eb11-a7ad-28187818aecc,fr,0.10025380551815033,0.4975912570953369,0.4021548926830292,neutral,True,negative,0.404,0.409,0.187,-0.5719
73,2,racist necessary equal rights law real lacking,3c0ef721-7fbd-eb11-a7ad-28187818aecc,en,0.988163411617279,0.011731094680726528,0.00010554717300692573,negative,False,negative,0.4,0.6,0.0,-0.6124
74,2,equality right to life and dignity accepting fair for everyone inclusive mandatory,63cce610-fec2-eb11-a7ad-28187818aecc,en,0.0018845679005607963,0.5009243488311768,0.49719110131263733,neutral,True,positive,0.0,0.473,0.527,0.7845
75,2,freedom of speech right to move freely right to information right to democracy right to work ,2a36fed9-a1c3-eb11-a7ad-28187818aecc,en,0.003914893604815006,0.9510825872421265,0.0450025238096714,neutral,False,positive,0.0,0.664,0.336,0.7964
76,2,freedom defence against arbitrary imprisonment liberty religious freedom right to protest right to speak against the government,7f2b5edf-9bb9-eb11-a7ad-28187818aecc,en,0.03763522580265999,0.9565107822418213,0.005854079499840736,neutral,False,positive,0.074,0.441,0.485,0.9042
77,2,droit liberte     ,7ba4ec7d-a2c3-eb11-a7ad-28187818aecc,fr,0.37828031182289124,0.48216626048088074,0.1395534873008728,neutral,True,positive,0.0,0.192,0.808,0.6369
78,2,equality right to religion freedom speech vote other,dc0ef721-7fbd-eb11-a7ad-28187818aecc,en,0.01638862118124962,0.9560675024986267,0.027543816715478897,neutral,False,positive,0.0,0.625,0.375,0.6369
79,2,absolutely necessary the right thing to do every person has the right to freedom of speech the right to choose religion the right to live how you want ,5e352034-7fbd-eb11-a7ad-28187818aecc,en,0.0041705104522407055,0.8456588387489319,0.15017065405845642,neutral,False,positive,0.0,0.825,0.175,0.6705
80,2,people should have the right to freedom equality choice   ,b43e2e58-eebe-eb11-a7ad-28187818aecc,en,0.0025601505767554045,0.9107248783111572,0.086714968085289,neutral,False,positive,0.0,0.656,0.344,0.6369
81,2,droit à la liberté droit à l'expression droit aux rassemblement   ,519270b5-9bb9-eb11-a7ad-28187818aecc,fr,0.05503243952989578,0.6274828314781189,0.31748467683792114,neutral,False,positive,0.0,0.682,0.318,0.6369
82,2,freedom of speach autonomy    ,21b0f7eb-a1c3-eb11-a7ad-28187818aecc,en,0.00023843806411605328,0.9828783273696899,0.016883201897144318,neutral,False,positive,0.0,0.417,0.583,0.6369
83,2,freedom of  speech freedom  of  the  press one person one vote   ,04e45760-fec2-eb11-a7ad-28187818aecc,en,0.001346526318229735,0.9865947365760803,0.012058758176863194,neutral,False,positive,0.0,0.517,0.483,0.8555
84,1,democracy freedom rights   ,623d1e91-9bb9-eb11-a7ad-28187818aecc,en,0.000741189403925091,0.7797096371650696,0.21954919397830963,neutral,False,positive,0.0,0.323,0.677,0.6369
85,2,right equality diversity   ,bfe2254c-eebe-eb11-a7ad-28187818aecc,en,0.0007256284006871283,0.8247146606445312,0.17455966770648956,neutral,False,neutral,0.0,1.0,0.0,0.0
86,2,rights for everyone equality compassion   ,a8a5273a-eebe-eb11-a7ad-28187818aecc,en,0.003080258844420314,0.3932202458381653,0.6036994457244873,positive,False,neutral,0.0,0.571,0.429,0.4588
87,2,equal rights for everyone making unselfish decisions for the common good    ,7d73e428-fec2-eb11-a7ad-28187818aecc,en,0.0008322239737026393,0.6239262223243713,0.37524154782295227,neutral,False,neutral,0.0,0.775,0.225,0.4404
88,2,equal rights     ,95cae610-fec2-eb11-a7ad-28187818aecc,en,0.001422758330591023,0.8947635293006897,0.10381374508142471,neutral,False,neutral,0.0,1.0,0.0,0.0
89,2,equality basic democratic rights    ,e674e428-fec2-eb11-a7ad-28187818aecc,en,0.0006397297838702798,0.7159024477005005,0.28345781564712524,neutral,False,neutral,0.0,1.0,0.0,0.0
90,2,liberté égalité fraternité droit aux soins  ,6f1b8f40-7fbd-eb11-a7ad-28187818aecc,fr,0.04601728543639183,0.6369435787200928,0.3170391321182251,neutral,False,positive,0.0,0.351,0.649,0.8126
91,2,"equality the right  to go to school, church, shop without interferenc can express my opinions we all have the same rights no matter race, colour or religion  ",3c4246b0-eebe-eb11-a7ad-28187818aecc,en,0.005122556816786528,0.9133731722831726,0.08150423318147659,neutral,False,neutral,0.04,0.96,0.0,-0.0191
92,2,liberte sante argent droit parole  ,7648759d-9bb9-eb11-a7ad-28187818aecc,fr,0.24991561472415924,0.5069368481636047,0.24314753711223602,neutral,False,neutral,0.0,1.0,0.0,0.0
93,2,right of expression right to choose right to education freedom live love,75fe69af-9bb9-eb11-a7ad-28187818aecc,en,0.02413414791226387,0.8920076489448547,0.08385814726352692,neutral,False,positive,0.0,0.543,0.457,0.8555
94,2,food shelter healthcare equal rights freedom of expression freedom of peaceful demonstration,57bd36a4-eebe-eb11-a7ad-28187818aecc,en,0.007032772991806269,0.731062650680542,0.2619045078754425,neutral,False,positive,0.0,0.381,0.619,0.9186
95,2,right to work right for social protection right to an education freedom to practise religion right to privacy right to health and liberty,80af8e97-eebe-eb11-a7ad-28187818aecc,en,0.004706818610429764,0.9455954432487488,0.04969774931669235,neutral,False,positive,0.0,0.734,0.266,0.8225
96,2,sécurité nourriture égalité des sexes droit de parole démocratie santé,b1937d72-eebe-eb11-a7ad-28187818aecc,fr,0.05873453617095947,0.8033323884010315,0.13793306052684784,neutral,False,neutral,0.0,0.714,0.286,0.4215
97,2,freedom choice rights torture imprison china,7f09fb52-7fbd-eb11-a7ad-28187818aecc,en,0.8325156569480896,0.16691245138645172,0.0005719081382267177,negative,False,neutral,0.322,0.331,0.347,0.0772
98,2,necessary to support happy to be living in canada believe in support for other countries lament the lack of same in some countries srongly believe in rights expectation,bfa46d6b-a2c3-eb11-a7ad-28187818aecc,en,0.0017638116842135787,0.15095357596874237,0.8472825884819031,positive,False,positive,0.142,0.615,0.243,0.5859
99,2,equality freedom justice peace right to happiness and security stability,4b3d1e91-9bb9-eb11-a7ad-28187818aecc,en,0.002019854262471199,0.17733429372310638,0.820645809173584,positive,False,positive,0.0,0.226,0.774,0.9524
100,2,liberté de parole abus de ses droits et des reglements moins de violence   ,659f5f5a-fec2-eb11-a7ad-28187818aecc,fr,0.9980542063713074,0.0015418375842273235,0.00040397109114564955,negative,False,negative,0.396,0.396,0.208,-0.5868
101,1,freedom of expression freedom of association culture of trust encourages individuality protects rights of individuals (not groups) rewards and value for hard work,dce11897-9bb9-eb11-a7ad-28187818aecc,en,0.0011110687628388405,0.710570752620697,0.2883181571960449,neutral,False,positive,0.103,0.392,0.505,0.9464
102,1,ouverture inclusion droit liberté d expression  ,92e21897-9bb9-eb11-a7ad-28187818aecc,fr,0.08424536883831024,0.69835364818573,0.21740099787712097,neutral,False,positive,0.0,0.543,0.457,0.6369
103,2,equality fairness normal right to life fundamental right to believe in religion,8b659b65-7fbd-eb11-a7ad-28187818aecc,en,0.011984923854470253,0.938010036945343,0.05000495910644531,neutral,False,neutral,0.0,1.0,0.0,0.0
104,2,droit à la nourriture droit au logement droit liberté de expression droit à la différence droit au service de la santé vivre,cdff4daa-eebe-eb11-a7ad-28187818aecc,fr,0.03352692350745201,0.6817110776901245,0.2847619950771332,neutral,False,positive,0.0,0.819,0.181,0.6369
105,2,freedom of opinion and expression right to equality freedom from discimination right to personl security right to life equal before the law,6c5f9e78-eebe-eb11-a7ad-28187818aecc,en,0.010061308741569519,0.9499439001083374,0.0399947389960289,neutral,False,positive,0.0,0.638,0.362,0.8957
106,2,freedom guarenteed given by god above lawmakers basic rights democratic,5b609c09-7fbd-eb11-a7ad-28187818aecc,en,0.0013857530429959297,0.921383798122406,0.07723048329353333,neutral,False,positive,0.0,0.559,0.441,0.743
107,2,liberty rights equality freedom safety overhyped,723f1e91-9bb9-eb11-a7ad-28187818aecc,en,0.03996284306049347,0.8444129228591919,0.11562421172857285,neutral,False,positive,0.0,0.224,0.776,0.886
108,2,health wellness clean environment basic needs comfort truth transparency non aggression rule right to thrive,1058286c-eebe-eb11-a7ad-28187818aecc,en,0.006918998900800943,0.7376083135604858,0.25547266006469727,neutral,False,positive,0.097,0.442,0.46,0.802
109,1,helpfull to neighbours universal health care love of country rich natural resources equality of rights freedom of speech,aa685e4e-fec2-eb11-a7ad-28187818aecc,en,0.00043253684998489916,0.04960816353559494,0.9499592781066895,positive,False,positive,0.0,0.423,0.577,0.9565
110,2,"communist dictatorship china right to free speech islamic republics dictatorships demand straight answer from prime minister, not dodging right to free opinion",612b5edf-9bb9-eb11-a7ad-28187818aecc,en,0.8537231087684631,0.1459330916404724,0.00034382997546344995,negative,False,positive,0.053,0.601,0.346,0.8072
111,2,freedom of choice freedom of expression respect dignity strength pride,1e412e58-eebe-eb11-a7ad-28187818aecc,en,0.010147414170205593,0.8580328822135925,0.1318197250366211,neutral,False,positive,0.0,0.168,0.832,0.9628
112,1,cultures pacifiste respect liberté expression  ,b441d00f-7fbd-eb11-a7ad-28187818aecc,fr,0.13780970871448517,0.34014496207237244,0.522045373916626,positive,True,positive,0.0,0.316,0.684,0.7579
113,2,freedom of speech choice kind respect listen learn,1091243c-fec2-eb11-a7ad-28187818aecc,en,0.0037547133397310972,0.9322441220283508,0.06400120258331299,neutral,False,positive,0.0,0.318,0.682,0.8934
114,2,respect liberté de parole    ,9f3d68c1-9bb9-eb11-a7ad-28187818aecc,fr,0.13747842609882355,0.3656328320503235,0.4968887269496918,positive,True,positive,0.0,0.291,0.709,0.8074
115,2,dignity respect rights   ,6208d666-9bb9-eb11-a7ad-28187818aecc,en,0.0014098588144406676,0.8672571182250977,0.13133300840854645,neutral,False,positive,0.0,0.147,0.853,0.7003
116,1,egalite homme femme respect liberte droits de la personne  ,66f3eff1-a1c3-eb11-a7ad-28187818aecc,fr,0.04700075834989548,0.3906777501106262,0.5623215436935425,positive,True,positive,0.0,0.569,0.431,0.6486
117,1,égalité respect droit   ,f3d168bb-9bb9-eb11-a7ad-28187818aecc,fr,0.08086930960416794,0.7717849016189575,0.14734575152397156,neutral,False,neutral,0.0,1.0,0.0,0.0
118,2,respect bafouer canada minorité application droit,e93d68c1-9bb9-eb11-a7ad-28187818aecc,fr,0.9126831889152527,0.07235240191221237,0.014964375644922256,negative,False,neutral,0.0,0.617,0.383,0.4767
119,1,langue liberté respect paix démocratie droit,6eae2752-eebe-eb11-a7ad-28187818aecc,fr,0.04761156439781189,0.44150885939598083,0.5108795762062073,positive,True,positive,0.0,0.231,0.769,0.875
120,1,solidarité diversité justice démocratie liberté d'expression respect des différences,97dcc434-a2c3-eb11-a7ad-28187818aecc,fr,0.013084751553833485,0.28804224729537964,0.6988730430603027,positive,False,positive,0.0,0.317,0.683,0.9169
121,1,freedom respect environment multiculturalism free speech equality,f77f2c79-9bb9-eb11-a7ad-28187818aecc,en,0.007879692129790783,0.6797321438789368,0.3123881220817566,neutral,False,positive,0.0,0.274,0.726,0.891
122,1,respect for all human life equality in employment areas as to race freedom of speech respect for our laws election integrity freedom of religion,12e35760-fec2-eb11-a7ad-28187818aecc,en,0.007828773930668831,0.933158814907074,0.05901245400309563,neutral,False,positive,0.0,0.525,0.475,0.9531
123,1,freedom of speach democratic polite respectful complacent accepting,2a3f9f46-7fbd-eb11-a7ad-28187818aecc,en,0.004517137538641691,0.8485424518585205,0.1469404399394989,neutral,False,positive,0.086,0.265,0.649,0.8591
124,2,"""human rights"" is a phrase and not a ""term"" fair (not equal, but fair) treatment for all respect for all regardless of colour, ethnicity, religion, sex, orientation, etc education for all health and health care for all equal rights for all",1c2b5edf-9bb9-eb11-a7ad-28187818aecc,en,0.33533594012260437,0.6579480171203613,0.006716069299727678,neutral,False,positive,0.079,0.749,0.171,0.7598
125,1,"freedom of expression, freedom of movement, freedom of religion, and freedom to pursue economic activity and opportunity! canadian values are grounded in the canadian constitution, human rights and cnd law mutual respect for one another equality of opportunity access to healthcare, primary education and to social services fairness and freedom from oppressive totalitarian government",ebbb36a4-eebe-eb11-a7ad-28187818aecc,en,0.0001593232445884496,0.14512543380260468,0.8547152280807495,positive,False,positive,0.071,0.528,0.401,0.9816
126,2,liberté deplacement liberté parole securite choix personel racisme paix,e9faf21b-7fbd-eb11-a7ad-28187818aecc,fr,0.11692173779010773,0.6336398720741272,0.24943837523460388,neutral,False,positive,0.19,0.185,0.625,0.8555
127,2,freedom of speech freedeom of movement personal safety/protection access to health care discrimination religious choice,cca6d079-fec2-eb11-a7ad-28187818aecc,en,0.0104825459420681,0.9760231971740723,0.013494227081537247,neutral,False,positive,0.0,0.637,0.363,0.8126
128,2,discrimination racisme égalité criminelles mieux protégées que les victimes salaire minimum est égal à l’esclavage certains droits dès uns briment ceux des autres,175d56b6-eebe-eb11-a7ad-28187818aecc,fr,0.9669211506843567,0.01742006465792656,0.015658797696232796,negative,False,negative,0.423,0.348,0.229,-0.8271
